,Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
292,LP002850,Male,No,2,Graduate,No,2400,0,46.0,360.0,1.0,Urban,1
293,LP002853,Female,No,0,Not Graduate,No,3015,2000,145.0,360.0,1.0,Urban,1
294,LP002856,Male,Yes,0,Graduate,No,2292,1558,119.0,360.0,1.0,Urban,1
295,LP002857,Male,Yes,1,Graduate,Yes,2360,3355,87.0,240.0,1.0,Rural,1
296,LP002858,Female,No,0,Graduate,No,4333,2333,162.0,360.0,0.0,Rural,0
297,LP002860,Male,Yes,0,Graduate,Yes,2623,4831,122.0,180.0,1.0,Semiurban,1
298,LP002867,Male,No,0,Graduate,Yes,3972,4275,187.0,360.0,1.0,Rural,1
299,LP002869,Male,Yes,3+,Not Graduate,No,3522,0,81.0,180.0,1.0,Rural,1
300,LP002870,Male,Yes,1,Graduate,No,4700,0,80.0,360.0,1.0,Urban,1
301,LP002876,Male,No,0,Graduate,No,6858,0,176.0,360.0,1.0,Rural,1
302,LP002878,Male,Yes,3+,Graduate,No,8334,0,260.0,360.0,1.0,Urban,1
303,LP002879,Male,Yes,0,Graduate,No,3391,1966,133.0,360.0,0.0,Rural,0
304,LP002885,Male,No,0,Not Graduate,No,2868,0,70.0,360.0,1.0,Urban,1
305,LP002890,Male,Yes,2,Not Graduate,No,3418,1380,135.0,360.0,1.0,Urban,1
306,LP002891,Male,Yes,0,Graduate,Yes,2500,296,137.0,300.0,1.0,Rural,1
307,LP002899,Male,Yes,2,Graduate,No,8667,0,254.0,360.0,1.0,Rural,1
308,LP002901,Male,No,0,Graduate,No,2283,15000,106.0,360.0,1.0,Rural,1
309,LP002907,Male,Yes,0,Graduate,No,5817,910,109.0,360.0,1.0,Urban,1
310,LP002920,Male,Yes,0,Graduate,No,5119,3769,120.0,360.0,1.0,Rural,1
311,LP002921,Male,Yes,3+,Not Graduate,No,5316,187,158.0,180.0,0.0,Semiurban,1
312,LP002932,Male,Yes,3+,Graduate,No,7603,1213,197.0,360.0,1.0,Urban,1
313,LP002935,Male,Yes,1,Graduate,No,3791,1936,85.0,360.0,1.0,Urban,1
314,LP002952,Male,No,0,Graduate,No,2500,0,60.0,360.0,1.0,Urban,1
315,LP002954,Male,Yes,2,Not Graduate,No,3132,0,76.0,360.0,1.0,Rural,1
316,LP002962,Male,No,0,Graduate,No,4000,2667,152.0,360.0,1.0,Semiurban,1
317,LP002965,Female,Yes,0,Graduate,No,8550,4255,96.0,360.0,1.0,Urban,1
318,LP002969,Male,Yes,1,Graduate,No,2269,2167,99.0,360.0,1.0,Semiurban,1
319,LP002971,Male,Yes,3+,Not Graduate,Yes,4009,1777,113.0,360.0,1.0,Urban,1
320,LP002975,Male,Yes,0,Graduate,No,4158,709,115.0,360.0,1.0,Urban,1
321,LP002980,Male,No,0,Graduate,No,3250,1993,126.0,360.0,1.0,Semiurban,1
322,LP002986,Male,Yes,0,Graduate,No,5000,2393,158.0,360.0,1.0,Rural,1
323,LP002989,Male,No,0,Graduate,Yes,9200,0,98.0,180.0,1.0,Rural,1
